temperature,humidity,light,timestamp
25.3,93.0,0,2025-12-08 02:48:03.503000+05:30
25.8,93.0,0,2025-12-08 02:43:01.487000+05:30
25.8,93.0,0,2025-12-08 02:37:59.449000+05:30
25.8,93.0,0,2025-12-08 02:32:57.356000+05:30
25.8,93.0,0,2025-12-08 02:27:55.891000+05:30
25.8,93.0,0,2025-12-08 02:22:54.129000+05:30
25.8,93.0,0,2025-12-08 02:17:51.726000+05:30
25.8,93.0,0,2025-12-08 02:12:50.150000+05:30
25.8,93.0,0,2025-12-08 02:07:47.928000+05:30
25.8,93.0,0,2025-12-08 02:02:46.184000+05:30
25.8,93.0,0,2025-12-08 01:57:44.102000+05:30
25.8,93.0,0,2025-12-08 01:52:41.720000+05:30
25.8,93.0,0,2025-12-08 01:47:40.039000+05:30
25.8,93.0,0,2025-12-08 01:42:38.249000+05:30
25.8,93.0,0,2025-12-08 01:37:36.088000+05:30
25.8,93.0,0,2025-12-08 01:32:34.510000+05:30
25.8,93.0,0,2025-12-08 01:27:32.624000+05:30
26.2,93.0,0,2025-12-08 01:22:30.545000+05:30
26.2,93.0,0,2025-12-08 01:17:28.566000+05:30
25.8,93.0,0,2025-12-08 01:12:26.383000+05:30
26.2,93.0,0,2025-12-08 01:07:24.492000+05:30
26.2,93.0,0,2025-12-08 01:02:22.699000+05:30
26.2,93.0,0,2025-12-08 00:57:21.173000+05:30
26.2,93.0,0,2025-12-08 00:52:19.225000+05:30
26.2,93.0,0,2025-12-08 00:47:17.480000+05:30
26.2,93.0,0,2025-12-08 00:42:15.781000+05:30
26.2,93.0,0,2025-12-08 00:37:13.920000+05:30
26.6,93.0,0,2025-12-08 00:32:12.034000+05:30
26.7,93.0,0,2025-12-08 00:27:10.163000+05:30
26.3,93.0,0,2025-12-08 00:22:08.359000+05:30
26.7,93.0,0,2025-12-08 00:17:06.615000+05:30
26.7,93.0,0,2025-12-08 00:12:04.545000+05:30
26.7,93.0,0,2025-12-08 00:07:02.415000+05:30
26.7,93.0,0,2025-12-08 00:02:00.492000+05:30
26.7,93.0,0,2025-12-07 23:56:58.662000+05:30
26.7,93.0,0,2025-12-07 23:51:57.016000+05:30
26.7,93.0,0,2025-12-07 23:46:55.235000+05:30
26.7,93.0,0,2025-12-07 23:41:53.376000+05:30
26.7,93.0,0,2025-12-07 23:36:51.273000+05:30
26.7,93.0,0,2025-12-07 23:31:49.437000+05:30
26.7,93.0,0,2025-12-07 23:26:47.835000+05:30
26.7,93.0,0,2025-12-07 23:21:45.634000+05:30
26.7,93.0,0,2025-12-07 23:16:43.767000+05:30
26.7,93.0,0,2025-12-07 23:11:41.781000+05:30
26.7,93.0,0,2025-12-07 23:06:39.995000+05:30
27.1,93.0,0,2025-12-07 23:01:38.217000+05:30
27.1,93.0,0,2025-12-07 22:56:36.363000+05:30
27.1,92.0,0,2025-12-07 22:51:34.579000+05:30
27.1,92.0,0,2025-12-07 22:46:32.323000+05:30
27.1,92.0,0,2025-12-07 22:41:30.502000+05:30
27.1,92.0,0,2025-12-07 22:36:28.627000+05:30
27.1,92.0,0,2025-12-07 22:31:26.638000+05:30
27.1,92.0,0,2025-12-07 22:26:24.648000+05:30
